,ACCOMMODATION_CODE,pred/gbv,error,total2019,predicted,max
12,DE-00005-82,2.1302838138370315,1.1302838138370315,4861.762667,10356.934316227258,8283.625333
14,DE-00006-13,2.070276063582594,1.0702760635825939,3448.88,7140.133710168738,8195.46
15,DE-00007-09,2.083511925137077,1.083511925137077,8929.797429,18605.33943237991,9538.565714
55,DE-00008-28,2.4226869309913766,1.4226869309913766,4352.607,10545.004094641583,4352.607
61,DE-00008-35,3.1460901371486507,2.146090137148651,3169.963,9972.98932942615,5237.729
62,DE-00008-37,2.5789027137649767,1.5789027137649767,6076.0775,15669.612753796317,7101.7875
68,DE-00008-44,8.230006703148156,7.230006703148155,1361.0475,11201.430048303038,16797.23948
81,DE-00008-64,3.5525034994208067,2.5525034994208067,4524.2879520000015,16072.5487818674,13494.203
85,DE-00008-69,5.379337373902966,4.379337373902966,1032.57,5554.542392170985,10997.553999999998
94,DE-00008-80,2.201913402841145,1.2019134028411453,4662.66,10266.773546891294,10945.51143
97,DE-00008-83,2.043017973177774,1.0430179731777736,5279.624,10786.366723620731,6476.046292
106,DE-00008-96,2.854761065357772,1.8547610653577717,4660.26,13303.92880244421,8935.125
114,DE-00009-09,3.59123975216765,2.59123975216765,4694.956,16860.71262187802,5656.05
117,DE-00009-103,2.7216546968454773,1.7216546968454773,1028.0,2797.8610283571506,17669.772
120,DE-00009-17,2.027392119621177,1.0273921196211768,7574.198570999999,15355.870495291376,7574.198570999999
122,DE-00009-20,3.521699871820059,2.521699871820059,3401.04575,11977.462381829158,8243.048429
127,DE-00009-25,2.0876778534453555,1.0876778534453557,6792.832429000001,14181.245824188722,8034.353
130,DE-00009-29,2.244821154630937,1.2448211546309371,3071.12,6894.115144410162,6042.29
131,DE-00009-30,2.272063127006566,1.272063127006566,4700.3025,10679.383996026778,7437.4435
133,DE-00009-32,2.4719778601919207,1.4719778601919207,4728.884246000001,11689.697159522368,6780.3162379999985
140,DE-00009-41,2.2366422642730313,1.2366422642730315,2797.6585,6257.361242102692,3976.432331
143,DE-00009-47,2.2883314310926637,1.2883314310926637,3854.26,8819.82430160321,3854.26
160,DE-00009-71,39.00049391445246,38.000493914452456,59.11,2305.319195283285,6949.839
164,DE-00009-78,3.383110899429536,2.383110899429536,1531.24,5180.354733642483,3740.322
171,DE-00009-88,2.3621670924345706,1.3621670924345703,2934.25,6931.188790976139,5102.165
176,DE-00009-95,2.314582699970816,1.3145826999708163,2378.85,5506.045055825576,3691.76
184,DE-00010-06,2.3699234211565825,1.3699234211565827,7375.25,17478.777711885086,7375.25
185,DE-00010-07,3.72445504030495,2.72445504030495,475.23066669999986,1769.9752518982962,14199.629
187,DE-00010-09,2.120016733810655,1.1200167338106548,6076.474333,12882.227268530938,6076.474333
188,DE-00010-10,2.2073387704993763,1.2073387704993763,6841.425,15101.342647963696,6841.425
193,DE-00010-128,3.761806678547248,2.7618066785472486,718.1460000000003,2701.5264189719933,8424.428
200,DE-00010-138,2.781987136181648,1.7819871361816482,390.247,1085.6621339334797,13309.78031
221,DE-00010-39,2.6184181456257964,1.6184181456257967,2178.2340710000008,5703.527616926752,8266.337590000001
226,DE-00010-48,2.15251555411791,1.1525155541179102,3944.811305,8491.267692072672,5688.0686689999975
232,DE-00010-58,2.4450349083191707,1.4450349083191707,5072.474857,12402.378096936294,6753.996
241,DE-00010-68,2.0046804733204113,1.0046804733204115,5786.698286,11600.481058940893,9383.637
242,DE-00010-70,2.3380047897054412,1.338004789705441,2310.258667,5401.395828904509,3364.3
243,DE-00010-71,3.915709761038141,2.915709761038141,4096.525,16040.802928836769,4096.525
251,DE-00010-80,2.955568923953601,1.9555689239536012,4913.164564,14521.196503628444,9779.907429
256,DE-00010-88,2.152159503703405,1.152159503703405,3312.994132,7130.091806897412,5186.558857
258,DE-00010-90,2.1470123671514787,1.1470123671514787,6728.822856999999,14446.865890350544,11764.41457
261,DE-00010-95,2.5619355968533646,1.5619355968533648,3095.855714000001,7931.3829564184925,5330.237286
270,DE-00011-11,2.31791765183407,1.3179176518340698,2708.351652,6277.736101544763,7363.624745
284,DE-00011-32,2.4588983608065864,1.4588983608065866,2041.407429,5019.613380906489,7391.550611
287,DE-00011-35,3.1029861583406846,2.1029861583406846,2528.0660000000007,7844.553805371704,4746.733
293,DE-00011-42,2.089143135022102,1.089143135022102,3946.017,8243.794326230509,8067.126286
298,DE-00011-49,3.5471274721739414,2.5471274721739414,3761.095,13341.08339995605,7317.196999999999
300,DE-00011-55,2.753095685042371,1.7530956850423711,3858.759,10623.532752518415,12693.046
309,DE-00011-74,3.750906942534942,2.7509069425349426,2953.14,11076.95332827764,3653.033
310,DE-00011-75,2.3967374207107754,1.3967374207107754,7455.953782,17869.96343640943,8010.661667
313,DE-00011-82,10.560529390607906,9.560529390607906,1093.848,11551.613952857677,1168.490544
318,DE-00011-99,6.103419596790762,5.103419596790762,657.64,4013.8528636334768,7969.829000000002
319,DE-00012-06,2.004076045231672,1.0040760452316724,4203.812,8424.758927857445,5558.316999999999
328,DE-00012-111,2.0132802592740724,1.0132802592740722,800.0,1610.6242074192578,11141.743
331,DE-00012-13,6.119385383457635,5.119385383457635,883.0,5403.417293593092,21220.546
352,DE-00012-58,3.8987247711679816,2.898724771167982,3483.891333,13582.73344002454,7902.949
353,DE-00012-59,2.132742130527854,1.132742130527854,4408.23,9401.617842056801,7452.405
354,DE-00012-60,2.5865484567113146,1.5865484567113144,5283.562,13666.189137038547,8826.873
355,DE-00012-61,2.0470850740549578,1.0470850740549578,7100.7945,14535.930434881537,9575.7625
356,DE-00012-62,3.031491084390815,2.031491084390815,3609.255,10941.424353792972,5901.621
357,DE-00012-63,2.4938774591658817,1.4938774591658814,3595.557333,8966.879385907294,7425.641
360,DE-00012-65-01,2.517514833319908,1.5175148333199082,2683.164286,6754.905890239221,14771.66019
362,DE-00012-66-01,5.134716305476548,4.134716305476548,1348.37,6923.497424815413,14032.58571
370,DE-00012-75,4.61730326006304,3.61730326006304,685.0,3162.8527331431824,25365.66433
371,DE-00012-76,6.192115789748628,5.192115789748628,293.865,1819.6461065544804,6424.012
380,DE-00012-87,2.195806272038377,1.1958062720383769,5417.742464,11896.31288273985,8442.539714
386,DE-00012-93-99,4.751381690510482,3.751381690510482,7514.73022,35705.35157643381,37201.85387
394,DE-00013-08,2.1991037100075657,1.1991037100075654,5085.405714,11183.334572551074,10119.89029
407,DE-00013-124-01,6.304057443243678,5.304057443243678,1168.332,7365.232040779773,42723.48147
409,DE-00013-17,3.6542269100942013,2.6542269100942013,4812.47,17585.857378021043,6267.811
417,DE-00013-31,2.0230668485886967,1.023066848588697,3901.430714,7892.8551395591285,3901.430714
424,DE-00013-38,3.291462208852233,2.291462208852233,5506.222,18123.52162655076,5506.222
468,DE-00014-26,2.051806003001135,1.051806003001135,9038.281,18544.799212611102,9038.281
481,DE-00014-49,3.2854256997833913,2.2854256997833913,10985.44929,36091.87742103321,38071.75778
482,DE-00014-51,2.691522347889799,1.6915223478897992,2525.92,6798.570128981802,7006.688
524,DE-00015-37,2.6663262823716125,1.6663262823716125,2743.327,7314.604881239669,4271.03
535,DE-00015-74-01,2.1020765985774355,1.1020765985774357,3068.784,6450.8190324888565,23612.758
537,DE-00015-75-01,2.06712956315587,1.0671295631558702,3099.092,6406.224692139852,17805.256999999998
538,DE-00015-76,9.03486742701497,8.03486742701497,200.8,1814.201379344606,8450.235706
542,DE-00015-83,2.6675431666155784,1.6675431666155784,689.252,1838.6094626761205,8629.826714
543,DE-00015-84,9.591069047511915,8.591069047511915,170.74200000000005,1637.59831131028,7505.119714
549,DE-00015-92,7.82877743208341,6.82877743208341,189.189,1481.1185735984282,8498.708
568,DE-00016-33,2.354421355039449,1.3544213550394488,1323.3670000000004,3115.7635253544913,4742.760349
576,DE-00016-46,2.2985408798262816,1.2985408798262816,3808.48039,8753.947866431741,8374.616762
582,DE-00016-65,2.508098782742398,1.5080987827423982,1261.12,3163.013536892093,2794.348
588,DE-00016-75,3.3139428595913483,2.3139428595913483,2321.13,7692.092189683267,6904.958000000001
589,DE-00016-76,3.479718840295281,2.4797188402952814,2258.342857,7858.398187349172,2451.047143
597,DE-00016-85,2.1071194690040005,1.1071194690040005,4131.225,8704.984628336053,4131.225
610,DE-00017-105,2.1647442503934853,1.164744250393485,11698.11215,25323.421017170673,11698.11215
614,DE-00017-20,2.6054620344588475,1.6054620344588477,361.79,942.6301094468665,4163.791945
621,DE-00017-37,2.2746624733857606,1.2746624733857603,3581.094333,8145.780892929511,9701.122667
632,DE-00017-55,3.7691144190571793,2.7691144190571793,1985.21,7482.483635856503,1985.21
633,DE-00017-56,7.772788111195713,6.772788111195713,1079.97,8394.377976448035,1628.47
658,DE-00018-00,2.23755679510189,1.2375567951018902,3923.06,8778.069560592421,7320.59
661,DE-00018-22,2.987364633107832,1.9873646331078318,762.0,2276.371850428168,10911.868
665,DE-00018-40,2.542076578755684,1.5420765787556838,914.0,2323.457992982695,11031.417
670,DE-00018-51-09,5.366036169819937,4.366036169819937,1371.0,7356.835588823134,9728.893662
681,DE-00018-81,3.9576728415907914,2.957672841590792,860.37,3405.0629827194693,3271.382
702,DE-00019-54,2.0163555296509443,1.0163555296509446,4932.817,9946.312834706183,7796.238
718,DE-00020-06,2.197858199911484,1.1978581999114837,9660.964,21233.42894644965,15427.71229
720,DE-00020-101,8.912918780776193,7.912918780776194,745.128,6641.265345282204,2321.668
751,DE-00020-83,5.278799109950163,4.278799109950163,895.4069999999997,4726.673674643144,22030.40600000001
755,DE-00021-30-99,3.081281838000408,2.0812818380004083,3820.14,11770.928000618878,45985.53095
756,DE-00021-34,3.261916753614212,2.261916753614212,4162.635714,13578.171174689458,7071.7301430000025
759,DE-00021-62,2.9427113395980666,1.9427113395980664,4925.749,14495.057438313837,6469.203
780,DE-00022-53,3.2192522113120248,2.2192522113120248,1848.0,5949.178086504622,4602.733
781,DE-00022-54,20.530118020951413,19.530118020951413,639.0,13118.745415387953,3489.397
782,DE-00022-55,3.0727817421491332,2.0727817421491332,3463.501143,10642.583076123054,11854.02973
783,DE-00022-57,2.493501041801103,1.493501041801103,6310.493801,15735.222867072902,8509.419
799,DE-00022-92,2.7877012701493262,1.7877012701493262,5112.201,14251.289220958655,6029.749286
808,DE-00023-58,4.709956971401105,3.7099569714011054,494.637,2329.7189864629286,494.637
809,DE-00023-58-04,7.068887340592097,6.068887340592097,626.4830000000002,4428.53774779616,626.4830000000002
810,DE-00023-58-05,14.829089521868914,13.829089521868916,1892.795,28068.426501545873,1892.795
811,DE-00023-76,24.56343284453864,23.56343284453864,290.433,7134.031491337891,290.433
817,DE-00024-79,14.07765303303645,13.07765303303645,96.32833333,1356.0768538704208,5973.991667
821,DE-00024-86,2.0934846411980037,1.093484641198004,9006.3,18854.550724021577,9472.04
823,DE-00024-98,4.168037606121954,3.168037606121955,2330.856,9715.095462454996,3551.72
829,DE-00025-79,2.3190309478888724,1.3190309478888724,3863.67,8959.9703024298,3863.67
837,DE-00026-41,3.192142100224831,2.192142100224831,1706.871,5448.574778752858,1706.871
842,DE-00027-43,2.0670533073125257,1.0670533073125255,12660.38,26169.68035083335,12660.38
846,DE-00027-59,3.604191698533595,2.604191698533595,3277.13,11811.404741015402,3277.13
856,DE-00029-15,4.992653220212215,3.992653220212215,5507.401429,27496.545479498203,5507.401429
861,DE-00029-29,2.2457723001309855,1.2457723001309855,3574.22,8026.884270574171,3574.22
864,DE-00029-43,2.336645599159739,1.336645599159739,3210.02,7500.679106214746,3210.02
867,DE-00029-44-2,2.1883176708422116,1.1883176708422118,3686.302,8066.799806660987,3686.302
868,DE-00029-44-3,2.267882047273509,1.2678820472735088,3195.443,7246.887812785803,3195.443
871,DE-00029-61,10.32451390541262,9.324513905412617,509.14,5256.62300980178,509.14
872,DE-00029-76,2.532333366818041,1.5323333668180414,1604.13,4062.191923713825,1604.13
874,DE-00029-79,4.540435870963662,3.540435870963661,203.0,921.7084818056234,203.0
920,DE-06485-04,43.26830932723509,42.26830932723509,103.24,4467.02025494375,21536.00567
921,DE-06485-06,2.105027313245575,1.1050273132455752,4103.141111,8637.224108755794,6462.839889
926,DE-06485-17,13.191526556246131,12.191526556246131,498.386,6574.472154261285,498.386
946,DE-06493-28,2.8914433066233127,1.8914433066233125,4264.358,12330.149396145576,4264.358
959,DE-06502-19,7.991273713350913,6.991273713350913,571.2571429,4565.072189620716,571.2571429
974,DE-08209-02,2.398614023232082,1.3986140232320816,6374.5865,15290.172571205916,9796.254643
979,DE-08223-08,2.476685164757986,1.476685164757986,578.89,1433.7282750267507,7271.570429
1007,DE-09477-01,3.343049369626073,2.3430493696260726,4174.986571,13957.186224378871,4174.986571
1013,DE-09509-02,2.0557409459769724,1.0557409459769724,4100.338143,8429.233012916282,6914.692714
1020,DE-09579-08,3.2255935215103393,2.2255935215103393,4652.25,15006.267460446476,4652.25
1021,DE-09623-01,2.6575753077443,1.6575753077442998,5998.018571000001,15940.186049681355,9860.745714
1046,DE-17375-08,15.706013512088262,14.706013512088262,814.6,12794.118606947099,814.6
1047,DE-17375-09,3.3210325760069184,2.3210325760069184,3245.87,10779.640007483576,3245.87
1050,DE-17406-08,2.6250394173624034,1.6250394173624032,6276.099,16475.007262268762,13270.471
1060,DE-18230-07-08,2.4300757823991557,1.430075782399156,6525.172,15856.662453189063,10575.81609
1062,DE-18230-10,6.113394036820366,5.113394036820366,3845.99,23512.05233167076,3845.99
1063,DE-18230-12,4.9948688486984825,3.9948688486984825,3436.0,17162.369364127986,3436.0
1071,DE-18279-01,3.6385519272311853,2.6385519272311857,3583.245661,13037.825405574333,3583.245661
1084,DE-23948-03,2.257054516091066,1.257054516091066,4917.017,11097.975425546545,4917.017
1087,DE-23948-06,2.4076816538611987,1.4076816538611987,3178.861,7653.685309874863,3178.861
1095,DE-27245-01,2.2281644689031306,1.2281644689031308,3358.429,7483.132169133872,6140.577429
1096,DE-27245-02,2.54243850761897,1.54243850761897,3370.888,8570.275456070694,5257.366
1139,DE-33181-04,5.7096319692115,4.709631969211499,1342.47,7665.009629707363,1342.47
1141,DE-34292-01,3.2246481258989297,2.22464812589893,1065.57,3436.0883035141223,1065.57
1146,DE-34454-11,3.9849641189294887,2.984964118929489,1513.78,6032.358983953081,1513.78
1152,DE-34508-113,2.093507639476594,1.0935076394765941,6250.4437579999985,13085.35175749179,29631.12957
1157,DE-34508-120,3.4790605412689763,2.4790605412689763,2510.308,8733.513509231841,2935.92
1181,DE-34513-19,7.905985944012415,6.905985944012415,4367.5059999999985,34529.441046389875,12214.09
1200,DE-34537-02,2.2879548927049207,1.2879548927049207,4752.287,10873.01829318799,9969.995
1214,DE-34621-07,5.319676061100703,4.319676061100703,1285.53,6838.603166826786,2611.292
1224,DE-35088-04,2.1164028953183394,1.1164028953183394,5304.371429,11226.187050179477,7341.33
1231,DE-35110-24,2.4404934561959015,1.4404934561959017,7764.21,18948.50369753078,11228.68743
1243,DE-36275-06,7.722611432399406,6.722611432399406,2305.8325,17807.048425698104,6015.447786
1244,DE-36275-07,8.713854961051391,7.71385496105139,241.0,2100.039045613385,13799.60414
1245,DE-36275-09,2.2597065331908612,1.259706533190861,6749.1078430000025,15251.003086036788,10236.35843
1246,DE-36275-14,4.098753055356649,3.0987530553566494,3045.2025,12481.533051054706,4408.3775
1252,DE-37199-02,2.3440412149067673,1.3440412149067675,2270.933143,5323.160883489764,6926.592
1269,DE-37441-13,3.61547366081006,2.61547366081006,6763.933000000001,24454.821604983976,30821.819
1274,DE-37444-06,2.3749522296066905,1.3749522296066905,2730.915,6485.792668116355,3167.6945
1277,DE-37447-01,4.536690987028267,3.5366909870282672,645.42,2928.0710968477842,5339.898
1279,DE-37447-07,4.649067989691374,3.649067989691374,509.427,2368.3607587845077,4125.259
1281,DE-37449-07,2.7013615459125884,1.7013615459125881,4580.81181,12374.428872596243,7491.749333
1295,DE-38644-11,11.929607796921106,10.929607796921106,706.7330532000003,8431.048141796582,3803.817429
1296,DE-38644-19,2.0133931677328376,1.0133931677328376,19624.319,39511.46979600971,19624.319
1297,DE-38644-40,3.547180406319697,2.5471804063196966,3230.851,11460.4113629384,3230.851
1306,DE-38700-22,2.438739016390461,1.4387390163904612,6917.354,16869.621089984623,10327.99329
1317,DE-38709-26,3.667764982895409,2.6677649828954086,12260.26,44967.75230919327,16647.452709999998
1318,DE-38709-28,2.2804615525659906,1.2804615525659906,2460.29,5610.596753162581,2460.29
1336,DE-38875-17,2.350955485301035,1.3509554853010348,4129.16,9707.47135168562,6270.02
1355,DE-38889-68,4.5889217046923,3.5889217046922997,1185.962,5442.286762740289,17332.81009
1390,DE-52516-32,2.3082553237788126,1.3082553237788126,16569.008530000006,38245.502149109074,24906.515
1400,DE-53572-01,3.8968771779821743,2.8968771779821747,3253.609571,12678.916883294272,3584.537762
1426,DE-54298-05,2.215758468090073,1.215758468090073,3875.517,8587.209610977035,6600.14
1428,DE-54347-14,3.8686639995416088,2.8686639995416088,797.2914286,3084.452646967919,8915.858570999999
1431,DE-54349-06,3.096729394411745,2.096729394411745,4258.788,13188.313984168004,7885.4609999999975
1437,DE-54426-07,2.49788847286766,1.49788847286766,3158.540429,7889.681728685573,7099.7580000000025
1438,DE-54426-08,2.6575251606163675,1.6575251606163675,2166.742,5758.17138156423,2410.908
1444,DE-54451-01,4.568203023730264,3.5682030237302644,321.855,1470.2989842027043,16771.037
1452,DE-54492-01,2.4375305625343877,1.4375305625343875,9141.252857,22282.083218792286,14789.15514
1465,DE-54531-27,7.821750104867442,6.821750104867441,510.3785714,3992.053644370045,14399.04429
1466,DE-54531-31,26.856669620874406,25.856669620874406,577.2571429,15503.204373155186,20336.51243
1469,DE-54533-29,4.695317204037741,3.695317204037741,443.465,2082.2088438885967,8662.131
1470,DE-54533-30,2.7966119421478486,1.7966119421478484,3645.54,10195.160699577667,5771.5
1486,DE-54552-40,9.966270058700589,8.966270058700589,237.78,2369.779694557826,5903.8719999999985
1489,DE-54552-73,2.2043132958514167,1.2043132958514164,2604.822,5741.843767926279,3198.72
1504,DE-54568-34,2.4233657467872263,1.4233657467872265,4492.662857,10887.365279517038,4492.662857
1506,DE-54570-04,2.9379527645559063,1.9379527645559065,4245.473,12472.999137197457,4245.473
1507,DE-54570-16,6.471411966302646,5.471411966302646,1744.24,11287.695608103726,4378.767143
1508,DE-54570-18,2.376187568465696,1.3761875684656961,8695.790429,20662.829115372784,8695.790429
1518,DE-54570-76,2.894101759743794,1.894101759743794,7940.730286,22981.28149436344,11516.57857
1532,DE-54584-07,4.494344450584643,3.4943444505846424,1447.882,6507.280431801395,21165.167
1541,DE-54595-20,13.323687209619514,12.323687209619512,98.18571429,1308.195745653029,10392.44229
1546,DE-54597-39,2.525563753360483,1.5255637533604829,12024.809,30369.421751482914,23705.92086
1549,DE-54597-55,2.0101542975094824,1.0101542975094826,4297.891429,8639.424926233522,9477.581714
1554,DE-54608-10,2.151893716636993,1.1518937166369931,3693.020286,7946.987148856351,5360.840429
1557,DE-54608-24,2.3078491440345035,1.3078491440345033,5768.838571,13313.60915815558,8323.825714
1560,DE-54608-33,3.428675818917748,2.428675818917748,2493.59,8549.711735295108,2493.59
1570,DE-54655-14,17.031377452192803,16.031377452192803,303.85714289999993,5175.105692274786,12869.579
1582,DE-54673-12,2.85333226685505,1.85333226685505,2561.078571,7307.608124585322,2561.078571
1583,DE-55483-01,4.899386510478315,3.899386510478315,1720.09,8427.385742808645,4886.97
1584,DE-55483-03,20.642007237817808,19.642007237817808,1598.0,32985.92756603286,25111.273
1589,DE-56182-01,4.548683061518788,3.548683061518788,1315.975,5985.953191882187,1315.975
1603,DE-56459-01,4.0908003827315245,3.0908003827315245,280.361,1146.900886102993,9891.554
1604,DE-56459-02,2.095184037220714,1.095184037220714,4282.426,8972.470595778954,13636.38957
1611,DE-56479-07,2.072496606660991,1.072496606660991,9531.369571,19753.731092729322,20218.948
1627,DE-56767-05,3.2684897636855603,2.2684897636855603,6293.497125,20570.230930847003,6886.7855709999985
1629,DE-56767-15,2.0412351222466656,1.0412351222466654,4424.865286,9032.190432993237,4886.47
1633,DE-56814-09,3.5263119716119538,2.5263119716119538,3083.71,10874.123489979498,3083.71
1634,DE-56814-12,2.33449605502743,1.33449605502743,2944.5,6873.923634028267,3147.17
1641,DE-56856-27,2.2059334032539284,1.2059334032539284,16201.02429,35738.38064823926,18986.87792
1642,DE-56856-29,2.049988522823166,1.049988522823166,2631.54,5394.626797350074,2981.862857
1644,DE-56858-04,2.542448349134518,1.5424483491345182,426.29,1083.8203067525537,5119.08
1649,DE-56869-03,2.044221195200364,1.0442211952003644,3762.75,7691.893302240171,5293.33
1653,DE-56869-11,2.202350224551584,1.2023502245515838,5820.913143,12819.689367581315,17180.62586
1654,DE-56869-12,2.374609730805239,1.3746097308052392,3550.493143,8431.035566525077,14635.72114
1655,DE-57319-14,2.130883650572001,1.130883650572001,1830.871571,3901.3742969409745,27978.67857
1661,DE-57392-06,2.165431405080624,1.1654314050806243,12203.06157,26424.892761810464,14804.07743
1662,DE-57392-15,2.5189613014301733,1.5189613014301735,8165.1640000000025,20567.732135830807,10562.801
1664,DE-57392-17,3.8475871636843193,2.8475871636843197,2003.660714,7709.2592435649585,5838.066286
1665,DE-57392-18,2.3832753025760005,1.3832753025760003,6566.295714,15649.290404586845,12308.01443
1698,DE-59872-01,2.197296737975877,1.197296737975877,6217.175714,13660.979915795044,10345.92571
1699,DE-59872-03,2.279629585231078,1.2796295852310782,5552.361429,12657.327381444306,7424.394429000001
1717,DE-59889-27,2.088000569730672,1.088000569730672,21901.75,45730.866478098746,21901.75
1723,DE-59889-58,2.133339718814735,1.1333397188147352,5450.187182,11627.100790335553,5450.187182
1724,DE-59889-60,2.5033096497998084,1.5033096497998086,3313.1290000000013,8293.787796731593,3313.1290000000013
1733,DE-59909-20,3.418177053841598,2.4181770538415974,3420.657,11692.41126646264,3781.74475
1769,DE-59955-130,7.789188621607538,6.789188621607538,2909.06,22659.217051573625,7239.37
1770,DE-59955-131,3.8412011509313086,2.8412011509313086,2118.78,8138.660174570239,2118.78
1771,DE-59955-133,7.27589281421216,6.275892814212159,700.47,5096.5446395711915,1824.75
1773,DE-59955-135,2.679514231171961,1.6795142311719609,629.95,1687.9599899267769,2211.58
1774,DE-59955-136,2.3985405302040403,1.3985405302040403,4294.44,10300.388394529438,6368.19
1775,DE-59955-137,13.551057909137418,12.551057909137418,1353.82,18345.69321854842,11093.06835
1791,DE-59955-177,7.43928507748713,6.4392850774871295,697.38,5188.008627337975,2364.7
1792,DE-59955-178,2.5554332784375986,1.5554332784375988,2658.794286,6794.371398964134,2658.794286
1793,DE-59955-179,2.4932413517286878,1.4932413517286878,1189.9,2966.707884421966,1189.9
1794,DE-59955-180,3.0913315025778467,2.0913315025778467,1223.95125,3783.6390567445337,2009.70875
1796,DE-59955-182,3.2740668350684494,2.2740668350684494,2797.84,9160.31515382791,4606.23
1807,DE-59955-197,7.2071898223624125,6.207189822362413,646.18,4657.141919414144,646.18
1808,DE-59955-198,21.98921416102235,20.98921416102235,253.79,5580.642661925862,253.79
1811,DE-59955-208,3.19843483174531,2.19843483174531,2284.17,7305.768889627685,2284.17
1812,DE-59955-209,2.469720541229729,1.4697205412297287,5916.63,14612.422645856053,5916.63
1813,DE-59955-210,3.74053425845458,2.74053425845458,6802.62,25445.433157248295,6802.62
1814,DE-59955-228,3.748060824679024,2.748060824679024,1662.97,6232.912709616477,1662.97
1815,DE-59955-229,2.9907842062247645,1.990784206224765,2482.68,7425.160133110097,2482.68
1816,DE-59955-230,12.625039150052329,11.62503915005233,648.87,8192.009153294455,648.87
1817,DE-59955-231,6.87916483966448,5.87916483966448,754.77,5192.187246033559,754.77
1818,DE-59955-233,3.131418264944545,2.131418264944545,1684.25,5274.09121273285,1684.25
1819,DE-59955-237,22.393448520549416,21.393448520549416,424.0,9494.822172712953,424.0
1820,DE-59955-238,2.7152129686965387,1.7152129686965387,527.8,1433.089404878033,527.8
1821,DE-59955-239,2.1145319695262046,1.1145319695262044,11666.063999999995,24668.265286538743,11666.063999999995
1824,DE-59955-65,2.3009049998688176,1.3009049998688174,13036.49314,29995.73224658154,16959.186569999998
1868,DE-59964-69,28.0648323963945,27.064832396394497,716.9871429,20122.123995858252,15169.38386
1869,DE-59964-72,16.669070661522976,15.669070661522978,614.9288571000002,10250.292570809468,13150.34157
