"learn","iteration","passed_time","remaining_time","test"
0.3465675426,0,0.1251906924,250.256194,0.3460647476,
0.3446631107,1,0.2137062998,213.4925935,0.3441582144,
0.3427891573,2,0.2915046482,194.0449275,0.3423154924,
0.3410033071,3,0.39213698,195.676353,0.3405936807,
0.3392686569,4,0.5169155978,206.2493235,0.3389160345,
0.3377796157,5,0.6270165701,208.3785068,0.3373742753,
0.3362073023,6,0.7314945739,208.2669551,0.3358657649,
0.33473384,7,0.8600775252,214.1593038,0.3344069057,
0.3333687435,8,0.9844611472,217.7846827,0.3330426508,
0.3320500959,9,1.080145724,214.9489991,0.3317413187,
0.3306857498,10,1.198662123,216.7399056,0.3304415035,
0.3294771221,11,1.300467183,215.4440633,0.329202556,
0.3282567073,12,1.394298886,213.113222,0.3280155559,
0.3271342334,13,1.502559983,213.1488662,0.3269314469,
0.3260671827,14,1.610099415,213.0698226,0.3259129294,
0.3250794874,15,1.705424252,211.4726073,0.3248989716,
0.3241236731,16,1.799465463,209.9023537,0.3239470242,
0.3232172484,17,1.899355191,209.1401105,0.3230507053,
0.3224438356,18,2.035208928,212.1973098,0.3223018554,
0.3215805199,19,2.151906302,213.0387239,0.3213234644,
0.3207400159,20,2.279577193,214.8230126,0.3205198771,
0.3199738033,21,2.402021146,215.9635376,0.3197564264,
0.3192605427,22,2.503863599,215.2234059,0.3190603751,
0.3186114546,23,2.602701141,214.2890606,0.3183875585,
0.3179329376,24,2.698766854,213.2025814,0.3177242554,
0.3172705584,25,2.809767175,213.3261694,0.3170682441,
0.3166689323,26,2.90787029,212.489929,0.3164515033,
0.3161588071,27,2.952656239,207.9513609,0.3159456669,
0.3156121101,28,3.052715488,207.4793872,0.315405845,
0.3150040063,29,3.167093017,207.9724414,0.3148529222,
0.3143891171,30,3.282567093,208.4959551,0.3142270156,
0.3137483338,31,3.402151113,209.2322934,0.3136317733,
0.3133153353,32,3.506910232,209.0331038,0.313214822,
0.3128500268,33,3.618963453,209.2612396,0.3127543458,
0.312360794,34,3.739833328,209.9649282,0.3122681439,
0.3118795172,35,3.855669525,210.348193,0.3118119425,
0.3113827988,36,3.958260389,210.0017606,0.3113567487,
0.3108765021,37,4.079157142,210.613324,0.3108685013,
0.3105082195,38,4.196526762,211.0099738,0.3105071424,
0.3101434554,39,4.299002165,210.6511061,0.3101674614,
0.3096925925,40,4.427916549,211.5680127,0.3097832298,
0.3092358304,41,4.565422371,212.8356429,0.309369567,
0.3088513658,42,4.674803283,212.7579076,0.3090179171,
0.3085568177,43,4.786650787,212.788385,0.308720506,
0.3082227868,44,4.91560914,213.5559082,0.308416166,
0.3078908243,45,5.032272868,213.7621996,0.3080960511,
0.307570744,46,5.159007349,214.3732203,0.3077857417,
0.3072958353,47,5.294660436,215.3161911,0.3075121905,
