iter	RMSE
0	0.3465675426
1	0.3446631107
2	0.3427891573
3	0.3410033071
4	0.3392686569
5	0.3377796157
6	0.3362073023
7	0.33473384
8	0.3333687435
9	0.3320500959
10	0.3306857498
11	0.3294771221
12	0.3282567073
13	0.3271342334
14	0.3260671827
15	0.3250794874
16	0.3241236731
17	0.3232172484
18	0.3224438356
19	0.3215805199
20	0.3207400159
21	0.3199738033
22	0.3192605427
23	0.3186114546
24	0.3179329376
25	0.3172705584
26	0.3166689323
27	0.3161588071
28	0.3156121101
29	0.3150040063
30	0.3143891171
31	0.3137483338
32	0.3133153353
33	0.3128500268
34	0.312360794
35	0.3118795172
36	0.3113827988
37	0.3108765021
38	0.3105082195
39	0.3101434554
40	0.3096925925
41	0.3092358304
42	0.3088513658
43	0.3085568177
44	0.3082227868
45	0.3078908243
46	0.307570744
47	0.3072958353
48	0.306964317
49	0.3065702772
50	0.3061931011
51	0.3058749752
52	0.3055430089
53	0.3052925338
54	0.305042558
55	0.3047545773
56	0.3045260731
57	0.3043162272
58	0.3041204244
59	0.3038593657
60	0.303646364
61	0.3034450623
62	0.3031912607
63	0.302877849
64	0.3026611932
65	0.3024534404
66	0.3022600835
67	0.3020788844
68	0.3019446122
69	0.3017848613
70	0.3016231715
71	0.301471677
72	0.3013299903
73	0.3011523716
74	0.30102359
75	0.3008920919
76	0.3007390709
77	0.3006196302
78	0.3005086983
79	0.3003274784
80	0.30010394
81	0.2999232787
82	0.2998394131
83	0.2996596194
84	0.29944483
85	0.2992539648
86	0.2990536324
87	0.2988114864
88	0.2987352623
89	0.298714221
90	0.2985980898
91	0.2983435562
92	0.2982365654
93	0.2980591848
94	0.2979234231
95	0.2978409837
96	0.2977662151
97	0.297561568
98	0.2974576761
99	0.2973034219
100	0.2972422226
101	0.297064396
102	0.2969752665
103	0.2968509075
104	0.2966774039
105	0.2965744186
106	0.2964239979
107	0.2961905072
108	0.2960886603
109	0.2958276443
110	0.2956158573
111	0.2954929295
112	0.2953802749
113	0.2953084807
114	0.2951079237
115	0.294961236
116	0.2947626762
117	0.29459984
118	0.2945305775
119	0.2944351051
120	0.2943092581
121	0.2942288831
122	0.2941785144
123	0.2939833777
124	0.2938628541
125	0.2938123807
126	0.2937521254
127	0.2936854255
128	0.2936451305
129	0.2935441451
130	0.2934454849
131	0.2932600768
132	0.2931472661
133	0.2930139069
134	0.2929576503
135	0.2926555289
136	0.2925672847
137	0.292473537
138	0.2923256888
139	0.2923198981
140	0.2922242163
141	0.2920282187
142	0.2919786787
143	0.2918796047
144	0.2918319985
145	0.2917192094
146	0.2914638061
147	0.2913049911
148	0.2912065488
149	0.2910922262
150	0.2910446694
151	0.2908733585
152	0.2907434371
153	0.2906452061
154	0.2905697749
155	0.2904929056
156	0.2904296077
157	0.2903771152
158	0.2902472087
159	0.2901651783
160	0.2900937248
161	0.2900199297
162	0.2899001027
163	0.289817044
164	0.2896663255
165	0.2895900951
166	0.289467609
167	0.2894073897
168	0.289289115
169	0.28917249
170	0.2890881308
171	0.2889484531
172	0.2888352401
173	0.2888303154
174	0.2887218847
175	0.2886811682
176	0.2885330253
177	0.2883520542
178	0.2883237802
179	0.288289835
180	0.2881737006
181	0.2881497688
182	0.288001876
183	0.2879211195
184	0.2878632485
185	0.287804217
