iter	RMSE
0	0.3872671187
1	0.3843095941
2	0.3815148737
3	0.3788735732
4	0.3763434529
5	0.3739753115
6	0.3717167541
7	0.3695618177
8	0.3675015326
9	0.3655482344
10	0.3637078848
11	0.3619870406
12	0.360288524
13	0.3586847436
14	0.3571321009
15	0.3556791306
16	0.3543203411
17	0.3529978287
18	0.3517859339
19	0.3506372811
20	0.3495436755
21	0.3484664004
22	0.3474517084
23	0.3465359043
24	0.3456342354
25	0.3447672444
26	0.3439454672
27	0.3431186579
28	0.342366565
29	0.3416172166
30	0.3409534734
31	0.3402760485
32	0.3396655288
33	0.3390268881
34	0.3384746921
35	0.3379471503
36	0.3374084947
37	0.3368475777
38	0.3363546495
39	0.3359230547
40	0.3354980093
41	0.3351361624
42	0.3347241734
43	0.3342886856
44	0.3338981823
45	0.3335026445
46	0.3331108358
47	0.332788945
48	0.3324512255
49	0.3321074443
50	0.3318001731
51	0.3315227117
52	0.3312265463
53	0.3309681023
54	0.330692135
55	0.3304417059
56	0.3301139773
57	0.3298291295
58	0.3296012458
59	0.3293404932
60	0.3291060056
61	0.3289240986
62	0.328715538
63	0.3285175447
64	0.3283262415
65	0.3281017802
66	0.3279115887
67	0.327771952
68	0.3275916395
69	0.3273246292
70	0.3271534224
71	0.3270031179
72	0.3268182732
73	0.3266547508
74	0.326433623
75	0.3262169795
76	0.3260839658
77	0.3258691266
78	0.3257287474
79	0.3255313753
80	0.3253877165
81	0.3252545026
82	0.325161481
83	0.3250386602
84	0.3248857386
85	0.3247730887
86	0.3246068396
87	0.3244299377
88	0.3243421411
89	0.3242259097
90	0.3241193411
91	0.3239571948
92	0.3238767243
93	0.3237782068
94	0.3236317415
95	0.32350069
96	0.3233880347
97	0.3232719466
98	0.3231904899
99	0.3230836206
100	0.3229278845
101	0.322836643
102	0.3227481163
103	0.322631615
104	0.3224879039
105	0.3224067545
106	0.3223251302
107	0.3222399291
108	0.3222200316
109	0.3221275153
110	0.3219193659
111	0.3218441786
112	0.3217595406
113	0.3216959228
114	0.3215434724
115	0.3214940119
116	0.3213039426
117	0.3212454329
118	0.3211468928
119	0.3210768499
120	0.3209869566
121	0.3208878616
122	0.3208397844
123	0.3207350546
124	0.3206357977
125	0.3205420848
126	0.3204669482
127	0.3203948973
128	0.3202677141
129	0.320210647
130	0.3201500483
131	0.3200880221
132	0.3200437475
133	0.3199511421
134	0.3198985311
135	0.3198283585
136	0.3197525273
137	0.3197394848
138	0.3195740787
139	0.3195109886
140	0.319434168
141	0.3193620564
142	0.3193196347
