,ACCOMMODATION_CODE,pred/gbv,error,total2019,predicted,max
14,DE-00006-13,2.43838469511288,1.4383846951128798,3448.88,8409.69620728091,8195.46
15,DE-00007-09,2.3129083986438084,1.3129083986438086,8929.797429,20653.80347172199,9538.565714
55,DE-00008-28,2.3122042225046426,1.3122042225046426,4352.607,10064.116284303265,4352.607
61,DE-00008-35,3.160807431942878,2.160807431942878,3169.963,10019.642609383942,5237.729
62,DE-00008-37,2.9969335420893746,1.9969335420893748,6076.0775,18209.600464084553,7101.7875
68,DE-00008-44,3.8997710912748964,2.899771091274897,1361.0475,5307.773694351969,16797.23948
81,DE-00008-64,3.7008422025028738,2.7008422025028733,4524.2879520000015,16743.6757890369,13494.203
85,DE-00008-69,4.592553831880115,3.5925538318801147,1032.57,4742.133310184449,10997.553999999998
106,DE-00008-96,2.923483926780528,1.923483926780528,4660.26,13624.195204618223,8935.125
114,DE-00009-09,3.330331691650706,2.330331691650706,4694.956,15635.760757705633,5656.05
117,DE-00009-103,2.4773816400725264,1.4773816400725264,1028.0,2546.748325994557,17669.772
120,DE-00009-17,2.0279936632620417,1.0279936632620417,7574.198570999999,15360.426706276408,7574.198570999999
122,DE-00009-20,3.5908616307000374,2.590861630700037,3401.04575,12212.684687930432,8243.048429
130,DE-00009-29,2.5544820215930573,1.554482021593057,3071.12,7845.12082615487,6042.29
131,DE-00009-30,2.474852464498027,1.4748524644980268,4700.3025,11632.555226011236,7437.4435
133,DE-00009-32,2.4129776337418853,1.4129776337418853,4728.884246000001,11410.691918152363,6780.3162379999985
140,DE-00009-41,2.333664030754005,1.3336640307540049,2797.6585,6528.795011783203,3976.432331
143,DE-00009-47,2.126822116316568,1.1268221163165681,3854.26,8197.325410034297,3854.26
146,DE-00009-50,2.1559150020566693,1.155915002056669,2707.99,5838.19626641944,2935.72
160,DE-00009-71,56.680305916097566,55.680305916097566,59.11,3350.372882700527,6949.839
164,DE-00009-78,3.1960508534313976,2.196050853431398,1531.24,4893.9209088082935,3740.322
171,DE-00009-88,2.3501247583584672,1.3501247583584675,2934.25,6895.853572213333,5102.165
176,DE-00009-95,2.019117406301984,1.019117406301984,2378.85,4803.177441981475,3691.76
184,DE-00010-06,2.3960342182359904,1.3960342182359902,7375.25,17671.351368044987,7375.25
185,DE-00010-07,2.443696606287416,1.4436966062874161,475.23066669999986,1161.3195674184958,14199.629
186,DE-00010-08,2.3672854099362786,1.3672854099362788,3786.583857,8963.92471817634,6993.759143000001
187,DE-00010-09,2.3386024566588524,1.3386024566588526,6076.474333,14210.457802978262,6076.474333
193,DE-00010-128,2.8568243144791614,1.8568243144791614,718.1460000000003,2051.6169541459526,8424.428
199,DE-00010-136-0,4.987383944140146,3.987383944140146,161.724,806.5796809821209,12203.1621
200,DE-00010-138,9.432331322792585,8.432331322792585,390.247,3680.939001725838,13309.78031
221,DE-00010-39,2.2365147577397835,1.2365147577397833,2178.2340710000008,4871.652645603109,8266.337590000001
232,DE-00010-58,2.7491432879666697,1.7491432879666697,5072.474857,13944.960206501244,6753.996
242,DE-00010-70,2.468821611949666,1.4688216119496664,2310.258667,5703.6165262836275,3364.3
243,DE-00010-71,3.4933156329778514,2.4933156329778514,4096.525,14310.45482338459,4096.525
251,DE-00010-80,2.7637604420072828,1.7637604420072823,4913.164564,13578.809867055157,9779.907429
256,DE-00010-88,2.56679104252877,1.5667910425287703,3312.994132,8503.763661967978,5186.558857
258,DE-00010-90,2.1745805115082284,1.1745805115082282,6728.822856999999,14632.367050223316,11764.41457
261,DE-00010-95,2.919271286969617,1.9192712869696171,3095.855714000001,9037.642694481026,5330.237286
284,DE-00011-32,2.639116841591885,1.639116841591885,2041.407429,5387.51272642469,7391.550611
287,DE-00011-35,2.4920448340898718,1.4920448340898718,2528.0660000000007,6300.053815538247,4746.733
292,DE-00011-40,2.217443264619014,1.2174432646190139,4482.65,9940.022050144422,4482.65
293,DE-00011-42,2.1556258692083246,1.1556258692083246,3946.017,8506.136325535825,8067.126286
298,DE-00011-49,3.299426609504629,2.299426609504629,3761.095,12409.456923874812,7317.196999999999
300,DE-00011-55,2.3232460365879306,1.3232460365879306,3858.759,8964.846552898007,12693.046
